id,question_id,output_score,rag_relevancy_score,hallucination_rate,system_prompt_alignment_score,reasoning,evaluation_metadata,created_at,updated_at,test_score,test_score_reason
16,16,0.79,0.84,0.45,0.74,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.71,
17,17,0.73,0.78,0.42,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.67,
18,18,0.78,0.83,0.43,0.73,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.64,
19,19,0.71,0.76,0.39,0.66,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.83,
20,20,0.76,0.81,0.36,0.71,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.88,
21,21,0.80,0.85,0.38,0.75,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.61,
22,22,0.85,0.90,0.42,0.80,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.93,
23,23,0.81,0.86,0.44,0.76,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.78,
24,24,0.81,0.86,0.33,0.76,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.64,
25,25,0.88,0.93,0.42,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.62,
26,26,0.73,0.78,0.44,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.86,
27,27,0.87,0.92,0.40,0.82,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.99,
54,54,0.94,0.94,0.37,0.87,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.66,
55,55,0.96,0.93,0.26,0.86,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.63,
56,56,0.97,0.95,0.34,0.91,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.84,
57,57,0.94,0.98,0.33,0.95,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.61,
58,58,0.90,0.92,0.40,0.87,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.94,
59,59,0.98,0.94,0.32,0.88,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.93,
60,60,0.97,0.93,0.35,0.89,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.91,
61,61,0.80,0.83,0.42,0.81,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.89,
62,62,0.76,0.83,0.39,0.83,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.94,
63,63,0.77,0.83,0.38,0.80,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.80,
64,64,0.86,0.90,0.36,0.81,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.99,
